ops_item_id,missing_fields,dup_flag,error_rate_by_client,blocks_invoicing
OP-001,1,0,0.11,0
OP-002,2,0,0.09,0
OP-003,3,0,0.03,0
OP-004,1,0,0.18,1
OP-005,3,0,0.09,0
OP-006,2,0,0.04,1
OP-007,3,0,0.07,0
OP-008,1,0,0.08,0
OP-009,0,0,0.17,0
OP-010,3,0,0.15,0
OP-011,3,0,0.15,0
OP-012,1,0,0.0,0
OP-013,1,1,0.08,0
OP-014,3,0,0.1,0
OP-015,2,0,0.0,0
OP-016,3,0,0.05,0
OP-017,1,0,0.15,0
OP-018,0,0,0.03,0
OP-019,0,1,0.11,0
OP-020,2,0,0.04,0
OP-021,3,0,0.0,0
OP-022,0,0,0.05,0
OP-023,3,0,0.2,1
OP-024,1,0,0.16,1
OP-025,0,0,0.19,0
OP-026,2,0,0.1,0
OP-027,1,0,0.02,0
OP-028,2,1,0.11,0
OP-029,1,0,0.09,0
OP-030,0,0,0.17,0
OP-031,2,0,0.02,1
OP-032,2,0,0.1,0
OP-033,1,0,0.03,0
OP-034,2,0,0.06,0
OP-035,1,0,0.15,0
OP-036,1,0,0.1,0
OP-037,1,0,0.08,0
OP-038,1,0,0.08,0
OP-039,0,0,0.09,0
OP-040,1,0,0.16,1
OP-041,3,0,0.18,0
OP-042,2,0,0.19,0
OP-043,3,0,0.16,0
OP-044,0,0,0.06,1
OP-045,3,0,0.14,0
OP-046,2,0,0.09,0
OP-047,3,0,0.05,1
OP-048,0,0,0.17,1
OP-049,1,0,0.01,0
OP-050,3,0,0.18,1
OP-051,0,0,0.09,0
OP-052,0,0,0.13,0
OP-053,2,1,0.13,0
OP-054,2,0,0.18,0
OP-055,3,0,0.13,0
OP-056,1,0,0.12,0
OP-057,0,0,0.01,0
OP-058,3,0,0.1,0
OP-059,0,0,0.03,0
OP-060,0,1,0.15,0
OP-061,1,0,0.1,0
OP-062,1,0,0.14,0
OP-063,3,0,0.01,0
OP-064,1,0,0.02,0
OP-065,1,0,0.14,1
OP-066,3,0,0.01,0
OP-067,1,0,0.01,0
OP-068,2,0,0.0,0
OP-069,0,0,0.19,0
OP-070,0,0,0.15,0
OP-071,0,0,0.07,1
OP-072,0,0,0.06,0
OP-073,3,0,0.07,0
OP-074,0,0,0.15,0
OP-075,0,0,0.13,0
OP-076,0,0,0.04,0
OP-077,0,0,0.03,0
OP-078,2,0,0.02,0
OP-079,0,0,0.13,0
OP-080,2,0,0.15,0
OP-081,3,0,0.05,1
OP-082,1,0,0.0,0
OP-083,0,0,0.02,0
OP-084,1,0,0.19,0
OP-085,1,1,0.06,0
OP-086,3,0,0.15,1
OP-087,1,0,0.12,0
OP-088,2,0,0.08,0
OP-089,1,0,0.04,1
OP-090,1,0,0.02,0
OP-091,1,0,0.12,1
OP-092,0,1,0.15,0
OP-093,0,0,0.13,0
OP-094,2,0,0.11,0
OP-095,2,0,0.01,0
OP-096,0,0,0.19,1
OP-097,2,0,0.16,0
OP-098,0,0,0.06,0
OP-099,3,0,0.2,0
OP-100,1,0,0.12,0
OP-101,1,0,0.12,0
OP-102,2,0,0.15,1
OP-103,0,1,0.16,0
OP-104,0,0,0.13,0
OP-105,2,0,0.03,0
OP-106,0,0,0.07,0
OP-107,3,1,0.19,0
OP-108,1,1,0.04,0
OP-109,2,0,0.07,1
OP-110,2,0,0.09,0
OP-111,0,0,0.09,0
OP-112,2,0,0.12,0
OP-113,3,0,0.19,1
OP-114,0,0,0.05,0
OP-115,0,0,0.02,0
OP-116,0,0,0.04,0
OP-117,0,0,0.18,0
OP-118,3,0,0.13,0
OP-119,0,0,0.06,0
OP-120,2,0,0.16,0
OP-121,3,0,0.17,0
OP-122,1,0,0.17,1
OP-123,1,0,0.18,1
OP-124,2,1,0.05,0
OP-125,2,0,0.15,0
OP-126,3,0,0.09,0
OP-127,1,0,0.17,0
OP-128,1,0,0.15,0
OP-129,1,0,0.16,0
OP-130,1,0,0.13,0
OP-131,1,1,0.04,1
OP-132,0,0,0.11,0
OP-133,2,1,0.2,0
OP-134,0,0,0.19,0
OP-135,1,0,0.01,0
OP-136,3,1,0.03,0
OP-137,3,0,0.03,0
OP-138,1,0,0.15,0
OP-139,1,0,0.16,0
OP-140,3,0,0.04,0
OP-141,0,0,0.1,0
OP-142,0,0,0.17,1
OP-143,1,0,0.15,1
OP-144,0,0,0.11,1
OP-145,3,0,0.12,0
OP-146,0,0,0.1,0
OP-147,1,0,0.06,1
OP-148,3,0,0.11,0
OP-149,0,0,0.14,0
OP-150,2,1,0.17,0
OP-151,3,0,0.13,0
OP-152,3,0,0.15,1
OP-153,2,0,0.03,0
OP-154,2,0,0.09,0
OP-155,3,1,0.0,0
OP-156,2,0,0.05,0
OP-157,1,0,0.15,1
OP-158,1,0,0.2,0
OP-159,1,0,0.02,0
OP-160,3,0,0.08,1
OP-161,2,0,0.16,0
OP-162,2,0,0.04,0
OP-163,0,0,0.11,0
OP-164,0,0,0.15,0
OP-165,2,0,0.12,0
OP-166,2,0,0.04,0
OP-167,2,1,0.07,0
OP-168,3,0,0.16,0
OP-169,2,1,0.11,1
OP-170,0,0,0.0,0
OP-171,3,0,0.15,0
OP-172,2,0,0.01,0
OP-173,0,0,0.15,0
OP-174,3,0,0.04,0
OP-175,2,0,0.19,1
OP-176,2,0,0.07,1
OP-177,2,0,0.07,0
OP-178,3,0,0.03,1
OP-179,0,0,0.06,0
OP-180,0,0,0.18,0
OP-181,1,0,0.2,0
OP-182,2,0,0.07,1
OP-183,1,0,0.09,0
OP-184,1,1,0.14,0
OP-185,0,0,0.18,0
OP-186,3,0,0.12,0
OP-187,3,1,0.08,0
OP-188,0,0,0.08,1
OP-189,3,0,0.14,1
OP-190,1,0,0.0,0
OP-191,2,0,0.12,1
OP-192,0,0,0.07,0
OP-193,2,0,0.16,1
OP-194,3,0,0.02,0
OP-195,2,0,0.12,0
OP-196,3,1,0.1,0
OP-197,3,0,0.13,1
OP-198,1,0,0.01,0
OP-199,3,0,0.12,0
OP-200,1,0,0.11,0
